Key,Source,Context,Changes,English
gun1911Desc,items,Gun,New,1911 pistol that uses .45mm for ammo.\n\nRepair with a Repair kit.
gunmk23Desc,items,Gun,New,MK-23 pistol that uses .45mm for ammo.\n\nRepair with a Repair kit.
gunGlock17Desc,items,Gun,New,Glock-17 pistol that uses .45mm for ammo.\n\nRepair with a Repair kit.
gun9mmrevolverDesc,items,Gun,New,Revolver pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gun45revolverDesc,items,Gun,New,Revolver pistol that uses .45mm for ammo.\n\nRepair with a Repair kit.
gunmakarovDesc,items,Gun,New,Makarov pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunm1pcarbineDesc,items,Gun,New,M1-carbine rifle that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunsksDesc,items,Gun,New,SKS rifle that uses 7.62mm ammo.\n\nRepair with a Repair kit.
guntoz34Desc,items,Gun,New,Over-Under shotgun that uses shells for ammo.\n\nRepair with a Repair kit.
gundoublebarrelproperDesc,items,Gun,New,Side-by-Side shotgun that uses shells for ammo.\n\nRepair with a Repair kit.
gunsinglebarrelshotgunDesc,items,Gun,New,Single Barrel shotgun that uses shells for ammo.\n\nRepair with a Repair kit.
gunrsx1Desc,items,Gun,New,Auto shotgun that uses shells for ammo.\n\nRepair with a Repair kit.
gunaks74uDesc,items,Gun,New,AKS-74u submachine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
gunak101Desc,items,Gun,New,AK-101 machine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
gunmac11Desc,items,Gun,New,Mac-11 automatic pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunmicrouziDesc,items,Gun,New,Micro Uzi automatic pistol that uses .9mm for ammo.
gunar15Desc,items,Gun,New,AR15 machine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
gunump45Desc,items,Gun,New,UMP-45 submachine gun that uses .45mm  for ammo.\n\nRepair with a Repair kit.
gunhk416Desc,items,Gun,New,HK416 machine gun that uses 5.56mm ammo.\n\nRepair with a Repair kit.
gundeserteagleDesc,items,Gun,New,Desert Eagle pistol that uses .44 magnum for ammo.\n\nRepair with a Repair kit.
gunp250Desc,items,Gun,New,P-250 pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunp99Desc,items,Gun,New,P-99 pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunuspDesc,items,Gun,New,USP pistol that uses .45mm for ammo.\n\nRepair with a Repair kit.
gunskorpionDesc,items,Gun,New,Skorpion automatic pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunpp19Desc,items,Gun,New,PP-19 submachine gun that uses .9mm for ammo.\n\nRepair with a Repair kit.
gung36cDesc,items,Gun,New,G36C machine gun that uses 5.56mm ammo.\n\nRepair with a Repair kit.
gun556rifleDesc,items,Gun,New,Sporting rifle that uses 5.56mm ammo.\n\nRepair with a Repair kit.
gun9mmrifleDesc,items,Gun,New,Varmint rifle that uses .9mm ammo.\n\nRepair with a Repair kit.
gunsvdDesc,items,Gun,New,SVD rifle that uses 7.62mm ammo.\n\nRepair with a Repair kit.
gunscarhDesc,items,Gun,New,SCAR-H machine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
guntec9Desc,items,Gun,New,TEC-9 pistol that uses .9mm for ammo.\n\nRepair with a Repair kit.
gunscarlDesc,items,Gun,New,SCAR-L machine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
gunsg553Desc,items,Gun,New,SG-553 submachine gun that uses 5.56mm for ammo.\n\nRepair with a Repair kit.
gun1911Schematic,items,Book,New,Reading this will teach you how to craft a 1911.
gun1911Schematic,items,Book,New,Reading this will teach you how to craft a 1911. 
gunmk23Schematic,items,Book,New,Mk 23 Reading this will teach you how to craft a Mk 23.
gunmk23Schematic,items,Book,New,Reading this will teach you how to craft a Mk 23. 
gunGlock17Schematic,items,Book,New,Glock 17 Schematic
gunGlock17Schematic,items,Book,New,Reading this will teach you how to craft a Glock 17. 
gunmakarovSchematic,items,Book,New,Makarov Schematic
gunmakarovSchematic,items,Book,New,Reading this will teach you how to craft a Makarov.
gun45revolverSchematic,items,Book,New,.45 Revolver Schematic
gun45revolverSchematic,items,Book,New,Reading this will teach you how to craft a .45 Revolver.
gundeserteagleSchematic,items,Book,New,Desert Eagle Schematic
gundeserteagleSchematic,items,Book,New,Reading this will teach you how to craft a Desert Eagle.
gunp250Schematic,items,Book,New,P250 Schematic
gunp250Schematic,items,Book,New,Reading this will teach you how to craft a P9.
gunp99Schematic,items,Book,New,P99 Schematic
gunp99Schematic,items,Book,New,Reading this will teach you how to craft a P99.
gunuspSchematic,items,Book,New,USP Schematic
gunuspSchematic,items,Book,New,Reading this will teach you how to craft a USP.
gun9mmrevolverSchematic,items,Book,New,9mm Revolver Schematic
gun9mmrevolverSchematic,items,Book,New,Reading this will teach you how to craft a 9mm Revolver.
guntec9Schematic,items,Book,New,TEC-9 Schematic
guntec9Schematic,items,Book,New,Reading this will teach you how to craft a TEC-9.
gundoublebarrelproperSchematic,items,Book,New,Side-by-Side Schematic
gundoublebarrelproperSchematic,items,Book,New,Reading this will teach you how to craft a side-by-side shotgun.
guntoz34Schematic,items,Book,New,Over/Under Schematic
guntoz34Schematic,items,Book,New,Reading this will teach you how to craft an over-under shotgun.
gunsinglebarrelshotgunSchematic,items,Book,New,Single Barrel Shotgun Schematic
