Key,File,Type,UsedInMainMenu,NoTranslate,english
cntWallOvenWorking,blocks,Container,,,Working Wall Oven
cntWallOvenPowered,blocks,Container,,,Powered Wall Oven
faucet02Working,blocks,Block,,,Working Household Faucet 2
faucet04Working,blocks,Block,,,Working Household Faucet
faucetBrass02Working,blocks,Block,,,Working Brass Faucet 2
faucetBrass04Working,blocks,Block,,,Working Brass Faucet
tableLampLightPlayer,blocks,Light,,,Table Lamp
workLightPlayer,blocks,Light,,,Work Light
signExitLightPlayer,blocks,Light,,,Exit Sign
industrialLight02RedPlayer,blocks,Light,,,Red Industrial Light
ceilingFanLightPlayer,blocks,Light,,,Ceiling Fan Light
signShopOpenPlayer,blocks,Sign,,,Shop Sign: Open
deskLampLightPlayer,blocks,Light,,,Desk Lamp
lightPlayerVariantHelper,blocks,Light,,,Working Lamps and Lights
sconce1LightShadowPlayer,blocks,Light,,,Sconce Light
porchLight01Player,blocks,Light,,,Old Outdoor Light
porchLight04BrassPlayer,blocks,Light,,,Brass Outdoor Light
wirelessWireRelay,blocks,Electricity,,,Wireless Wire Relay
wirelessWireRelayDesc,blocks,Electricity,,,Use this in place of a Wire Relay to connect devices without those pesky cables ruining the aesthetic of your base.
