Key,english,japanese

------------------Entities---------------------------

vehicleBrownHorse,"[e7a729]Tamed Brown Horse[-]","[e7a729]テイム済みの馬(茶)[-]"
vehicleBlackHorse,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]"
vehicleYellowHorse,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]"
vehicleAlbinoHorse,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]"
vehicleCreamHorse,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]"
vehicleMidnightHorse,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]"
vehicleGrayHorse,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]"

vehicleT2BrownHorse,"[e7a729]Tamed Brown Horse[-]","[e7a729]Japanese[-]"
vehicleT2BlackHorse,"[e7a729]Tamed Black Horse[-]","[e7a729]Japanese[-]"
vehicleT2YellowHorse,"[e7a729]Tamed Yellow Horse[-]","[e7a729]Japanese[-]"
vehicleT2AlbinoHorse,"[e7a729]Tamed Albino Horse[-]","[e7a729]Japanese[-]"
vehicleT2CreamHorse,"[e7a729]Tamed Cream Horse[-]","[e7a729]Japanese[-]"
vehicleT2MidnightHorse,"[e7a729]Tamed Midnight Horse[-]","[e7a729]Japanese[-]"
vehicleT2GrayHorse,"[e7a729]Tamed Gray Horse[-]","[e7a729]Japanese[-]"

animalBrownHorse,"Wild Brown Horse","野生の馬(茶)"
animalBlackHorse,"Wild Black Horse","野生の馬(黒)"
animalYellowHorse,"Wild Yellow Horse","野生の馬(黄)"
animalAlbinoHorse,"Wild Albino Horse","野生の馬(アルビノ)"
animalCreamHorse,"Wild Cream Horse","野生の馬(クリーム)"
animalMidnightHorse,"Wild Midnight Horse","野生の馬(ミッドナイト)"
animalGrayHorse,"Wild Gray Horse","野生の馬(灰)"

----------------Blocks ----------------------
spawnMaybellTrader,"[e7a729]Maybell[-]","[e7a729]Japanese[-]"
spawnAbbyTrader,"[e7a729]Abby[-]","[e7a729]Japanese[-]"
spawnLeahTrader,"[e7a729]Leah[-]","[e7a729]Japanese[-]"
spawnVincentTrader,"[e7a729]Vincent[-]","[e7a729]Japanese[-]"

spawnStabledBrownHorse,"[e7a729]Stabled Brown Horse[-]","[e7a729]Japanese[-]"
