Key,File,Type,UsedInMainMenu,NoTranslate,english,
slotMachine,, ,,,Slot Machine,,
slotMachineDesc,, ,,,"Place it on the ground with the Secondary action. You need to buy tokens to play.",,
casinoToken10,, ,,,Casino Token $10,,
casinoToken10Desc,, ,,,Worth 10 Casino Coins. Use it to play on a Slot Machine.,,
casinoToken100,, ,,,Casino Token $100,,
casinoToken100Desc,, ,,,Worth 100 Casino Coins. Use it to play on a Slot Machine.,,
casinoToken1000,, ,,,Casino Token $1000,,
casinoToken1000Desc,, ,,,Worth 1000 Casino Coins. Use it to play on a Slot Machine.,,
casinoBlock,, ,,,Casino Station,,
casinoBlockDesc,, ,,,Use it to buy tokens and cash out your earnings.,,
