Key,Source,Context,English

attschematics,progression,Attribute,Schematics
attSchematicsDesc,progression,Attribute,Check this screen to see which schematics you have learned and which you still need to hunt for.
attSchematicsName,progression,Attribute,Attribute: Schematics List
attSchematicsLongDesc,progression,Attribute,Testing this Localization.

perkmeleeClubBaseballBatDesc,progression,Perk,Unlocks the Baseball Bat.
perkmeleeClubBaseballBatSchematicRank1Desc,progression,Perk,Unlocks the Baseball Bat.

perkmeleeWpnClubT3SteelClubDesc,progression,Perk,Unlocks the Steel Club.
perkmeleeClubSteelSchematicRank1Desc,progression,Perk,Unlocks the Steel Club.

perkmeleeToolSledgehammerIronDesc,progression,Perk,Unlocks the Iron Sledgehammer.
perkmeleeToolSledgehammerIronSchematicRank1Desc,progression,Perk,Unlocks the Iron Sledgehammer.

perkmeleeToolSledgehammerSteelDesc,progression,Perk,Unlocks the Steel Sledgehammer.
perkmeleeToolSledgehammerSteelSchematicRank1Desc,progression,Perk,Unlocks the Steel Sledgehammer.

perkmeleeToolKnifeIronDesc,progression,Perk,Unlocks the Hunting Knife.
perkmeleeToolKnifeIronSchematicRank1Desc,progression,Perk,Unlocks the Hunting Knife.

perkmeleeToolKnifeMacheteDesc,progression,Perk,Unlocks the Machete.
perkmeleeToolKnifeMacheteSchematicRank1Desc,progression,Perk,Unlocks the Machete.

perkmeleeStunBatonDesc,progression,Perk,Unlocks the Stun Baton.
perkmeleeStunBatonSchematicRank1Desc,progression,Perk,Unlocks the Stun Baton.

meleeToolIronSet,items,Tools,Iron Tools Set
perkmeleeToolIronSetDesc,progression,Perk,Unlocks the Iron Tool Set.
perkmeleeToolIronSetSchematicRank1Desc,progression,Perk,Unlocks the Iron Tool Set.

meleeToolSteelSet,items,Tools,Steel Tools Set
perkmeleeToolSteelSetDesc,progression,Perk,Unlocks the Steel Tool Set.
perkmeleeToolSteelSetSchematicRank1Desc,progression,Perk,Unlocks the Steel Tool Set.

perkgunToolNailgunDesc,progression,Perk,Unlocks the Nailgun.
perkgunToolNailgunSchematicRank1Desc,progression,Perk,Unlocks the Nailgun.

perkmeleeToolWrenchDesc,progression,Perk,Unlocks the Wrench.
perkmeleeToolWrenchSchematicRank1Desc,progression,Perk,Unlocks the Wrench.

perkmeleeToolAugerDesc,progression,Perk,Unlocks the Auger.
perkmeleeToolAugerSchematicRank1Desc,progression,Perk,Unlocks the Auger.

perkmeleeToolChainsawDesc,progression,Perk,Unlocks the Chainsaw.
perkmeleeToolChainsawSchematicRank1Desc,progression,Perk,Unlocks the Chainsaw.

perkmeleeThrownSpearIronDesc,progression,Perk,Unlocks the Iron Spear.
perkmeleeThrownSpearIronSchematicRank1Desc,progression,Perk,Unlocks the Iron Spear.

perkmeleeThrownSpearSteelDesc,progression,Perk,Unlocks the Steel Spear.
perkmeleeThrownSpearSteelSchematicRank1Desc,progression,Perk,Unlocks the Steel Spear.

perkmeleeKnucklesIronDesc,progression,Perk,Unlocks the Iron Knuckles.
perkmeleeKnucklesIronSchematicRank1Desc,progression,Perk,Unlocks the Iron Knuckles.

perkmeleeKnucklesSteelDesc,progression,Perk,Unlocks the Steel Knuckles.
perkmeleeKnucklesSteelSchematicRank1Desc,progression,Perk,Unlocks the Steel Knuckles.

perkgunBowWoodenDesc,progression,Perk,Unlocks the Wooden Bow.
perkgunBowWoodenSchematicRank1Desc,progression,Perk,Unlocks the Wooden Bow.

perkgunBowCompoundDesc,progression,Perk,Unlocks the Compound Bow.
perkgunBowCompoundSchematicRank1Desc,progression,Perk,Unlocks the Compound Bow.

perkgunCrossbowIronDesc,progression,Perk,Unlocks the Iron Crossbow.
perkgunCrossbowIronSchematicRank1Desc,progression,Perk,Unlocks the Iron Crossbow.

perkgunCrossbowCompoundDesc,progression,Perk,Unlocks the Compound Crossbow.
perkgunCrossbowCompoundSchematicRank1Desc,progression,Perk,Unlocks the Compound Crossbow.

perkgunPistolDesc,progression,Perk,Unlocks the Pistol.
perkgunPistolSchematicRank1Desc,progression,Perk,Unlocks the Pistol.

perkgun44MagnumDesc,progression,Perk,Unlocks the 44 Magnum.
perkgun44MagnumSchematicRank1Desc,progression,Perk,Unlocks the 44 Magnum.

perkgunDoubleBarrelShotgunDesc,progression,Perk,Unlocks the Double Barrel Shotgun.
perkgunDoubleBarrelShotgunSchematicRank1Desc,progression,Perk,Unlocks the Double Barrel Shotgun.

perkgunPumpShotgunDesc,progression,Perk,Unlocks the Pump Shotgun.
perkgunPumpShotgunSchematicRank1Desc,progression,Perk,Unlocks the Pump Shotgun.

perkgunSMG5Desc,progression,Perk,Unlocks the SMG-5.
